Дата обращения;Вопрос;Ответ;Ссылка
29.09.2021;,,какой документ о вознаграждении подойдёт для оформления звания ветерана труда;Здравствуйте! Вам необходимо предоставить документ, подтверждающий награждение орденами или медалями, либо присвоение почетных званий СССР, РСФСР или РФ, либо награждение ведомственными знаками отличия в труде. Более подробную консультацию Вы можете получить, обратившись в Управление социальной защиты населения по месту Вашего фактического нахождения;https://mfc-amur.ru/faq/680683/
29.09.2021;Здравствуйте сайт для проверки очереди не работает как узнать свою очередь?;"Здравствуйте! Информацию о статусе рассмотрения заявления Вы можете получить на портале образовательных услуг Амурской области https://portal.obramur.ru/ в разделе ""Поиск заявлений"" по реквизитам документа, удостоверяющего личность ребенка (свидетельство о рождении) либо в Управлении образования по месту Вашего фактического нахождения";https://mfc-amur.ru/faq/680677/
29.09.2021;Добрый день . Подавали документы на выплаты до 3 лет. Статус заявления «передано на передачу в ОГВ». Что означает данный статус? Спасибо.;Здравствуйте! О статусе рассмотрения заявления Вы можете уточнить в Управление социальной защиты населения.;https://mfc-amur.ru/faq/680673/
28.09.2021;Здравствуйте подскажите пожалуйста подавала на переоформление путинские посмотрела статус заявления передано в архив что это значит?;Здравствуйте! В МФЦ результат не возвращается. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/680671/
27.09.2021;"Выдача результатов завершена, обращение готово к архивации


Что значит этот статус?";Здравствуйте! Статус Вашего дела – «В архиве». Данный статус означает, что услуга была предоставлена во время приема, а именно: специалист МФЦ зарегистрировал Вашу учетную запись на Портале Госуслуги.;https://mfc-amur.ru/faq/680652/
25.09.2021;"Здравствуйте, продаю дом. Проживаю с. Тамбовка
Сбербанк просит архивную расширенную выписку о ранее прописанные с 1991 
года, в каком учреждении я могу ее получить или заказать. Текущую выписку я уже им предоставила.
Заранее благодарю! ";Здравствуйте! МФЦ данной информацией не располагает.;https://mfc-amur.ru/faq/680613/
24.09.2021;Здравствуйте, слышала о пособие родившим женщинам от 18 до 25 лет, в амурской области уже действует? ;Здравствуйте! МФЦ не располагает данной информацией. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/680588/
24.09.2021;Добрый день! С 6 ИЮНЯ я не могу получить выписку из Росеестра.То собственник в момент моей подачи документов меняет юр.лицо,то в  МФЦ Ломоносова технический сбой,теперь с 28 августа ,после очередной подачи мной всех документов,не могут предоставить мне запрашиваемый документ.Пожалуйста,поспособствуйте ускорению процесса!!! Мой рег.№ дела  03811650.Спасибо.;Здравствуйте! Указанный регистрационный номер отсутствует в информационной системе МФЦ Амурской области. Рекомендуем обратиться в МФЦ Вашего региона;https://mfc-amur.ru/faq/680576/
24.09.2021;Подавали документы на пособия второму ребенку ,все документы из списка присутствовали ,можно узнать причину мотивированного отказа?;Здравствуйте! МФЦ не располагает данной информацией. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения;https://mfc-amur.ru/faq/680575/
21.09.2021;Можно ли по ксерокопии свидетельства  о рождении  поменять  паспорт;Здравствуйте! Для получения паспорта по достижению 14-летнего возраста необходим оригинал свидетельства о рождении.;https://mfc-amur.ru/faq/680504/
