,question,answer
0,"Добрый день! Подскажите, пожалуйста, статус дела MFC-0474/2022-24043-3 от 09.03.2022","Здравствуйте! По Вашему делу результат готов.  За выдачей документов можете обратиться в отделение МФЦ, в котором подавали документы."
1,"Скажите пожалуйста что означает статус оформления паспорта
""Формирование заказов и прием результатов (Отправлено на доработку.)""?","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
2,"Добрый вечер, подскажите дело 00056092
Pin 8799
 Подача документов 18.01.2022 когда ждать пособия по потере кормильца?",Здравствуйте! Данной информацией МФЦ не располагает Для уточнения статуса выполнения дела рекомендуем обратиться в Управление Пенсионного Фонда.
3,Здравствуйте. Какие документы нужны для оформления дарения доли недвижимости несовершенному? И можно ли это сделать в мфц?,Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
4,Если утеряна расписка с номером дела утеряна. Можно ли взять дубликат расписки в мфц?,Здравствуйте! Дубликат расписки в МФЦ не выдается. Для получения документов обратитесь с паспортом гражданина РФ
5,Подавала заявление через МФЦ на выплату с 3до7 .У меня написано передано на выдачу в огв.Это что означает,Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения .
6,"Здравствуйте. Как я могу проверить статус дела ""гос. Регистрация прав без одновременного государственного кадарствого учёта""  MFC-0474/2022-20498-2  где номер а где код  ?если можно то подскажите какой уже статус готовности! ","Здравствуйте!
Документы по вашему делу готовы к выдаче, Вам необходимо обратиться в офис МФЦ для их получения. При себе необходимо иметь опись документов и документ, удостоверяющий личность (паспорт гражданина РФ)."
7,"Что значит статус ""возврат результатов в ведомство"" После статуса ""отрицательный результат? ","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
8,Я не подавала заявление и не понятно с чем это связано,Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
9,День добрый скажите какая очередь у нас в детский сад? ,"Здравствуйте! МФЦ не располагает запрашиваемой информацией.
Проверить очередь в детский сад Вы можете перейдя по ссылке: https://portal.obramur.ru/ или обратившись в отдел образования Вашего муниципального образования. "
10,"что значит результат - ЗАВЕРШЕНО, ВЫДАЧА НЕ ПРЕДУСМОТРЕНА","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
11,"Доброе утро. Что значит статус ""Результат ожидает выдачи Заявителю Министерство внутренних дел РФ""?","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
12,Как можно оформить электронно пособие на ребенка первых трёх лет жизни и до 16,"Здравствуйте! Заявление и документы о предоставлении мер социальной поддержки можно направлять по электронной почте Управления социальной защиты населения по месту Вашего проживания, через региональный портал государственных услуг Амурской области (https://gu.amurobl.ru/pgu/services/info.htm?id=11466@egService), а также почтовым отправлением по адресу Управления социальной защиты населения."
13,Для получения результатов услуги нужно ли записываться на прием в соответствующий МФЦ?,Здравствуйте! Предварительная запись для выдачи документов не осуществляется.
14,В статусе обращения написано возвращено в огв. Передано на выдачу. Что это значит? Одобрено или нет ,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
15,"Мне нужна справка о наличии недвижимого имущества из БТИ Белогорского района,. Адрес недвижимости с. Великокнязевка пер. Школьный , д.7 Белогорского района.
Какие можно получить данную справку?","Здравствуйте! Через МФЦ в БТИ запрос не осуществляется в связи с отсутствием заключенного соглашения. 
Дополнительно сообщаем, через МФЦ предоставляются следующие государственные услуги: 
1. услуга Управления Росреестра по Амурской области – Выписка из ЕГРП о правах отдельного лица на имеющиеся (имевшиеся) у него объекты недвижимости. 
Для получения выписки Вам необходимо обратиться в отделение МФЦ с документом, удостоверяющим личность.
Госпошлина для физических лиц варьируется от 750 до 2 080 руб. в зависимости на скольких территориях необходимо сделать запрос. 
Срок предоставления услуги – 5 рабочих дней.
2. услуга Центра государственной кадастровой оценки Амурской области - Предоставление копий хранящейся документации об объектах государственного технического учета и технической инвентаризации и содержащихся в ней сведений. В рамках данной услуги Вы можете запросить Справку, содержащую сведения о наличии (отсутствии) права собственности на объекты недвижимости. 
Для получения справки Вам необходимо обратиться в отделение МФЦ с документом, удостоверяющим личность.
Плата за предоставление сведений составляет – 1 363 р.
Срок предоставления услуги – 10 рабочих дней.
Оплатить гос. пошлину Вы можете в отделении МФЦ с помощью банковской карты или любым бесконтактным способом оплаты по POS-терминалу в момент приема пакета документов."
16, Что значит - Статус: результат услуги поступил в мфц ,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
17,Что означает ваше дело исполнено выдача не предусмотрено?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
18,"Здравствуйте, что означает статус передано на выдачу ОГВ и как долго такой статус может быть? ","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
19,Здравствуйте как можно понять Возвращено из ОГВ НОМЕР ДЕЛА 4285/23/947,"Здравствуйте! Указанный регистрационный номер отсутствует в информационной системе МФЦ. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
20,"Как узнать статус дела MFC-0474/2022-9029-1 от29.01.2022 г.
.",Здравствуйте! Статус Вашего дела – «Обработка завершена». За получением результата оказания услуги Вам необходимо обратиться в отделение МФЦ. 
21,"Здравствуйте, как можно отправить вам резюме?","Здравствуйте! Резюме Вы можете отправить на адрес электронной почты kadry@mfc-amur.ru
"
22,Что означает статус исполнено. Такой статус написан в личном кабинете на портале мои документы,Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22.
23,Что значит выдано заявителю? ,Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
24,"Как понять завершено, к выдаче не предусмотрено",Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
25,Здравствуйте вы не востонавливаете госуслуги не могу восстановить там требуют контрольный ответ а я его не помню как нибудь можно востовивить учетную запись?),"Здравствуйте! Для восстановления доступа в личный кабинет портала Госуслуг Вы можете  обратиться в близжайший офис МФЦ, при себе иметь следующие документы: Паспорт, СНИЛС,"
26,"Здравствуйте , подскажите пожалуйста статус дела: MFC-0474/2022-15297-1",Здравствуйте.  Результат по Вашему делу в МФЦ еще не поступал.
27,"Что означает в оказания услуги Статус : завершено,выдача не предусмотрена?",Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
28,Не могу узнать статус готовы ли документы ,"Здравствуйте! О статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22."
