,question,answer0,answer1,docs
0,Жилищные услуги,Жилищные услуги,Оформление квартиры в собственность,https://mfc-spravka.ru/oformlenie-kvartiry-v-sobstvennost-v-mfc.html
1,Жилищные услуги,Жилищные услуги,Согласование перепланировки,https://mfc-spravka.ru/kak-uzakonit-pereplanirovku-cherez-mfc.html
2,Жилищные услуги,Жилищные услуги,Приватизация квартиры,https://mfc-spravka.ru/privatizaciya-kvartiry-cherez-mfc.html
3,Жилищные услуги,Жилищные услуги,Оформление купли-продажи квартиры,https://mfc-spravka.ru/kuplya-prodazha-kvartiry-cherez-mfc.html
4,Жилищные услуги,Жилищные услуги,Дарственная на квартиру,https://mfc-spravka.ru/kak-oformit-darstvennuyu-na-kvartiru-cherez-mfc.html
5,Жилищные услуги,Жилищные услуги,Снятие обременения по ипотеке,https://mfc-spravka.ru/snyatie-obremeneniya-s-kvartiry-po-ipoteke-v-mfc.html
6,Жилищные услуги,Жилищные услуги,Субсидия на оплату ЖКХ,https://mfc-spravka.ru/kak-oformit-subsidiyu-na-kommunalnye-uslugi-cherez-mfc.html
7,Жилищные услуги,Жилищные услуги,Технический паспорт на квартиру,https://mfc-spravka.ru/texnicheskij-pasport-na-kvartiru-cherez-mfc.html
8,Жилищные услуги,Жилищные услуги,Поэтажный план и экспликация квартиры,https://mfc-spravka.ru/poetazhnyj-plan-kvartiry-i-eksplikaciya-v-mfc.html
9,Жилищные услуги,Жилищные услуги,Кадастровый паспорт,https://mfc-spravka.ru/kadastrovyj-pasport-v-mfc.html
10,Жилищные услуги,Жилищные услуги,Купля-продажа гаража,https://mfc-spravka.ru/kuplya-prodazha-garazha-cherez-mfc.html
11,Жилищные услуги,Жилищные услуги,Оформление машино-места,https://mfc-spravka.ru/oformlenie-mashino-mesta-v-sobstvennost-v-mfc.html
12,Жилищные услуги,Жилищные услуги,Регистрация договора аренды,https://mfc-spravka.ru/registraciya-dogovora-arendy-v-mfc.html
13,Жилищные услуги,Жилищные услуги,Разрешение на строительство,https://mfc-spravka.ru/razreshenie-na-stroitelstvo-cherez-mfc.html
14,Жилищные услуги,Жилищные услуги,Ввод дома в эксплуатацию,https://mfc-spravka.ru/vvod-doma-v-ekspluataciyu-cherez-mfc.html
15,Справки и выписки,Справки и выписки,Выписка из домовой книги,https://mfc-spravka.ru/vypiska-iz-domovoj-knigi-cherez-mfc.html
16,Справки и выписки,Справки и выписки,Выписка из ЕГРН,https://mfc-spravka.ru/kak-poluchit-vypisku-iz-egrn-cherez-mfc.html
17,Справки и выписки,Справки и выписки,Выписка из ЕГРП,https://mfc-spravka.ru/vypiska-iz-egrp-v-mfc.html
18,Справки и выписки,Справки и выписки,Выписка из ЕГРЮЛ,https://mfc-spravka.ru/vypiska-iz-egryul-v-mfc.html
19,Справки и выписки,Справки и выписки,Единый жилищный документ,https://mfc-spravka.ru/edinyj-zhilishhnyj-dokument-v-mfc.html
20,Справки и выписки,Справки и выписки,Справка по форме № 7,https://mfc-spravka.ru/spravka-po-forme-7-cherez-mfc.html
21,Справки и выписки,Справки и выписки,Справка об остатке маткапитала,https://mfc-spravka.ru/spravka-ob-ostatke-materinskogo-kapitala-cherez-mfc.html
22,Справки и выписки,Справки и выписки,Справка – очередь на жилье,https://mfc-spravka.ru/spravka-ob-ocherednosti-predostavleniya-zhilya-cherez-mfc.html
23,Справки и выписки,Справки и выписки,Справка на социальную стипендию,https://mfc-spravka.ru/spravka-na-socialnuyu-stipendiyu-cherez-mfc.html
24,Справки и выписки,Справки и выписки,Справка о составе семьи,https://mfc-spravka.ru/spravka-o-sostave-semi-cherez-mfc.html
25,Справки и выписки,Справки и выписки,Справка об отсутствии судимости,https://mfc-spravka.ru/spravka-ob-otsutstvii-sudimosti-v-mfc.html
